AnalysisNr,RunNumber,PlaneID,TriggerASIC,TriggerChannel,LookbackStart,LookbackStop,LookbackStart_fine,LookbackStop_fine,TS_offset,TS_slope,TS_Cut
1,227,2,7,15,100,150,119,125,0.00000E+00,0.00000E+00,1.00E+06
1,227,12,8,14,100,150,117,121,-6.69299E+09,-2.23191E-06,1.00E+06
1,229,2,7,15,100,150,119,125,0.00000E+00,0.00000E+00,1.00E+06
1,229,12,8,14,100,150,117,121,-6.69496E+09,-2.20210E-06,1.00E+06
1,230,2,7,15,100,150,119,125,0.00000E+00,0.00000E+00,1.00E+06
1,230,12,8,14,100,150,117,121,-6.69496E+09,-2.20210E-06,1.00E+06
1,231,2,7,15,100,150,119,125,0.00000E+00,0.00000E+00,1.00E+06
1,231,12,8,14,100,150,117,121,-6.69496E+09,-2.20210E-06,1.00E+06
1,232,2,7,15,100,150,119,125,0.00000E+00,0.00000E+00,1.00E+06
1,232,12,8,14,100,150,117,121,-6.69496E+09,-2.20210E-06,1.00E+06
1,233,2,7,15,100,150,119,125,0.00000E+00,0.00000E+00,1.00E+06
1,233,12,8,14,100,150,117,121,-6.69496E+09,-2.20210E-06,1.00E+06
1,234,2,7,15,100,150,119,125,0.00000E+00,0.00000E+00,1.00E+06
1,234,12,8,14,100,150,117,121,-6.69234E+09,-2.32332E-06,1.00E+06
1,235,2,7,15,100,150,119,125,0.00000E+00,0.00000E+00,5.00E+06
1,235,12,8,14,100,150,117,121,-6.69459E+09,-2.23529E-06,5.00E+06
1,236,2,7,15,100,150,119,125,0.00000E+00,0.00000E+00,1.00E+06
1,236,12,8,14,100,150,117,121,0.00000E+00,0.00000E+00,1.00E+06
1,237,2,7,15,100,150,119,125,0.00000E+00,0.00000E+00,1.00E+06
1,237,12,8,14,100,150,117,121,0.00000E+00,0.00000E+00,1.00E+06
1,239,2,7,15,100,150,119,125,0.00000E+00,0.00000E+00,1.00E+06
1,239,12,8,14,100,150,117,121,0.00000E+00,0.00000E+00,1.00E+06
1,240,2,7,15,100,150,119,125,0.00000E+00,0.00000E+00,1.00E+06
1,240,12,8,14,100,150,117,121,0.00000E+00,0.00000E+00,1.00E+06
1,241,2,7,15,100,150,119,125,0.00000E+00,0.00000E+00,1.00E+06
1,241,12,8,14,100,150,117,121,0.00000E+00,0.00000E+00,1.00E+06
1,242,2,7,15,100,150,119,125,0.00000E+00,0.00000E+00,1.00E+06
1,242,12,8,14,100,150,117,121,0.00000E+00,0.00000E+00,1.00E+06
1,243,2,7,15,100,150,119,125,0.00000E+00,0.00000E+00,1.00E+06
1,243,12,8,14,100,150,117,121,0.00000E+00,0.00000E+00,1.00E+06
1,244,2,7,15,100,150,119,125,0.00000E+00,0.00000E+00,1.00E+06
1,244,12,8,14,100,150,117,121,0.00000E+00,0.00000E+00,1.00E+06
1,245,2,7,15,100,150,119,125,0.00000E+00,0.00000E+00,1.00E+06
1,245,12,8,14,100,150,117,121,0.00000E+00,0.00000E+00,1.00E+06
1,246,2,7,15,100,150,119,125,0.00000E+00,0.00000E+00,1.00E+06
1,246,12,8,14,100,150,117,121,0.00000E+00,0.00000E+00,1.00E+06
1,247,2,7,15,100,150,119,125,0.00000E+00,0.00000E+00,1.00E+06
1,247,12,8,14,100,150,117,121,-6.68477E+09,-2.31692E-06,1.00E+06
